transaction_id,date,narration,amount,type,true_category
TXN000057,2025-11-05,NEFT-TATASKY-914220896143,-574.01,Debit,Bills & Utilities
TXN000058,2025-11-06,PPF DEPOSIT-ppf@sbi-UPI-281342559296,-267.7,Debit,Investment
TXN000059,2025-11-06,UPI/SWIGGY/978972821277/swiggy@ybl,-147.25,Debit,Food & Dining
TXN000060,2025-11-06,AMAZON-amazon@apl-UPI-345702711595,-609.19,Debit,Shopping
TXN000061,2025-11-08,UPI/LOCAL KIRANA STORE/208934193408/kirana123@ybl,-226.66,Debit,Groceries
TXN000062,2025-11-08,RAPIDO-rapido@ybl-UPI-679471404490,-539.22,Debit,Transport
TXN000063,2025-11-08,NEFT-PVRCINEMAS-928840726638,-292.07,Debit,Entertainment
TXN000064,2025-11-08,NEFT-IRCTC-054665891208,-527.02,Debit,Transport
TXN000065,2025-11-09,NEFT-OLA-806593311846,-517.12,Debit,Transport
TXN000066,2025-11-10,UPI/DOMINOS/215072283190/dominos@okhdfcbank,-342.01,Debit,Food & Dining
TXN000067,2025-11-11,IMPS-FLIPKART-181375021410,-638.92,Debit,Shopping
TXN000068,2025-11-12,UPI-AMAZON-amazon@apl-426796360984-Payment from Phone,-332.09,Debit,Shopping
TXN000069,2025-11-12,UPI-IRCTC-irctc@sbi-006026539546-Payment from Phone,-456.3,Debit,Transport
TXN000070,2025-11-13,IMPS-MCDONALDS-724234404631,-455.93,Debit,Food & Dining
TXN000071,2025-11-13,UPI-SWIGGY-swiggy@ybl-007855531367-Payment from Phone,-600.78,Debit,Food & Dining
TXN000072,2025-11-13,NEFT-PPFDEPOSIT-315148351224,-498.26,Debit,Investment
TXN000073,2025-11-14,IMPS-HOTSTAR-656660279311,-220.76,Debit,Entertainment
TXN000074,2025-11-15,UPI-JAIPUR VIDYUT VITRAN NIGAM-jvvnl@sbi-053413395817-Payment from Phone,-339.43,Debit,Bills & Utilities
TXN000075,2025-11-18,UPI/IRCTC/425316553290/irctc@sbi,-848.31,Debit,Transport
TXN000076,2025-11-18,IMPS-BLINKIT-772144152563,-350.88,Debit,Groceries
TXN000077,2025-11-20,UPI/MYNTRA/574103868908/myntra@ybl,-14909.11,Debit,Shopping
TXN000078,2025-11-21,UPI/IRCTC/533331515937/irctc@sbi,-52.58,Debit,Transport
TXN000079,2025-11-21,NEFT-BLINKIT-211709645568,-365.45,Debit,Groceries
TXN000080,2025-11-22,UPI-GROWW MUTUAL FUND-groww@ybl-104320534080-Payment from Phone,-453.31,Debit,Investment
TXN000081,2025-11-25,UPI/AMAZON/486341018375/amazon@apl,-569.51,Debit,Shopping
TXN000082,2025-11-26,IMPS-TATA SKY-563937606335,-1132.71,Debit,Bills & Utilities
TXN000083,2025-11-27,MUNICIPAL WATER BOARD-waterboard@ybl-UPI-835139635933,-629.57,Debit,Bills & Utilities
TXN000084,2025-12-02,NEFT-RAPIDO-039371912755,-139.36,Debit,Transport
TXN000085,2025-12-02,IMPS-DOMINOS-865116697037,-881.69,Debit,Food & Dining
TXN000086,2025-12-02,IMPS-AJIO-229791654775,-95.28,Debit,Shopping
TXN000087,2025-12-03,IMPS-BOOKMYSHOW-804397510145,-424.29,Debit,Entertainment
TXN000088,2025-12-03,ZOMATO-zomato@paytm-UPI-889433302307,-584.95,Debit,Food & Dining
TXN000089,2025-12-04,IMPS-DOMINOS-948746902196,-496.92,Debit,Food & Dining
TXN000090,2025-12-05,IMPS-BIGBASKET-302615713368,-286.09,Debit,Groceries
TXN000091,2025-12-05,PG ACCOMMODATION-pgowner@paytm-UPI-266084565720,-6365.55,Debit,Rent & Housing
TXN000092,2025-12-05,ZEPTO-zepto@ybl-UPI-165395750803,-350.27,Debit,Groceries
TXN000093,2025-12-06,OLA-ola@okicici-UPI-807420109595,-478.53,Debit,Transport
TXN000094,2025-12-10,UPI-DOMINOS-dominos@okhdfcbank-274449316372-Payment from Phone,-576.23,Debit,Food & Dining
TXN000095,2025-12-11,MCDONALDS-mcd@okicici-UPI-912132471447,-224.48,Debit,Food & Dining
TXN000096,2025-12-11,UPI-AJIO-ajio@paytm-299063869167-Payment from Phone,-581.36,Debit,Shopping
TXN000097,2025-12-12,UPI-DMART-dmart@paytm-390143401332-Payment from Phone,-397.23,Debit,Groceries
TXN000098,2025-12-12,IMPS-ZOMATO-435224929418,-66.83,Debit,Food & Dining
TXN000099,2025-12-13,IMPS-AJIO-809646387619,-384.99,Debit,Shopping
TXN000100,2025-12-13,JAIPUR VIDYUT VITRAN NIGAM-jvvnl@sbi-UPI-899675221771,-116.36,Debit,Bills & Utilities
TXN000101,2025-12-13,IMPS-UBER-972435491803,-234.84,Debit,Transport
TXN000102,2025-12-14,NEFT-AMAZON-519167685800,-198.89,Debit,Shopping
TXN000103,2025-12-14,UPI-BLINKIT-blinkit@okhdfcbank-746462948620-Payment from Phone,-1019.91,Debit,Groceries
TXN000104,2025-12-14,ARYA COLLEGE FEE PORTAL-arya.edu@sbi-UPI-531929520192,-261.32,Debit,Education
TXN000105,2025-12-15,IRCTC-irctc@sbi-UPI-263778913534,-641.86,Debit,Transport
TXN000106,2025-12-16,IMPS-SWIGGY-236281353745,-185.1,Debit,Food & Dining
TXN000107,2025-12-16,UPI-BYJUS-byjus@paytm-095923048645-Payment from Phone,-317.96,Debit,Education
TXN000108,2025-12-16,NEFT-RAPIDO-773451505729,-253.75,Debit,Transport
TXN000109,2025-12-18,UPI/RAPIDO/531640078518/rapido@ybl,-548.24,Debit,Transport
TXN000110,2025-12-18,UPI-LOCAL KIRANA STORE-kirana123@ybl-336855545403-Payment from Phone,-230.15,Debit,Groceries
TXN000111,2025-12-19,UPI/AMAZON/526952045773/amazon@apl,-369.9,Debit,Shopping
TXN000112,2025-12-20,NEFT-APOLLOPHARMACY-144425648775,-182.1,Debit,Healthcare
TXN000113,2025-12-20,UPI/ZEPTO/531933776661/zepto@ybl,-273.08,Debit,Groceries
TXN000114,2025-12-21,IMPS-DMART-776445972558,-255.09,Debit,Groceries
TXN000115,2025-12-21,NEFT-BOOKMYSHOW-227342425961,-318.94,Debit,Entertainment
TXN000116,2025-12-24,UPI/OLA/841114217757/ola@okicici,-322.94,Debit,Transport
TXN000117,2025-12-24,NEFT-GROWWMUTUALFUND-717820269346,-375.15,Debit,Investment
TXN000118,2025-12-24,IMPS-PRACTO-604717059498,-510.65,Debit,Healthcare
TXN000119,2025-12-24,UPI-JIO RECHARGE-jio@icici-369055799181-Payment from Phone,-236.09,Debit,Bills & Utilities
TXN000120,2025-12-25,AJIO-ajio@paytm-UPI-850611322279,-694.34,Debit,Shopping
TXN000121,2025-12-25,RELIANCE DIGITAL-reliancedigital@ybl-UPI-066013458731,-970.84,Debit,Shopping
TXN000122,2025-12-25,NEFT-OLA-211764545622,-294.95,Debit,Transport
TXN000123,2025-12-25,UPI/ARYA COLLEGE FEE PORTAL/553918925184/arya.edu@sbi,-608.87,Debit,Education
TXN000124,2025-12-27,UPI-CITY HOSPITAL-cityhospital@sbi-845404873875-Payment from Phone,-175.91,Debit,Healthcare
TXN000125,2025-12-28,UPI-GROWW MUTUAL FUND-groww@ybl-655823297184-Payment from Phone,-449.45,Debit,Investment
TXN000126,2025-12-28,IMPS-MUNICIPAL WATER BOARD-990904779649,-356.32,Debit,Bills & Utilities
TXN000127,2025-12-28,UPI-IRCTC-irctc@sbi-366563155720-Payment from Phone,-155.91,Debit,Transport
TXN000128,2025-12-29,IMPS-LOCAL KIRANA STORE-782895425571,-223.65,Debit,Groceries
TXN000129,2025-12-29,UPI/AMAZON/996734137483/amazon@apl,-757.4,Debit,Shopping
TXN000130,2025-12-29,NEFT-MCDONALDS-057074228052,-686.01,Debit,Food & Dining
TXN000131,2025-12-30,NEFT-CITYHOSPITAL-951226980712,-295.46,Debit,Healthcare
TXN000132,2025-12-30,IMPS-AMAZON-177548390991,-307.29,Debit,Shopping
TXN000133,2025-12-31,AIRTEL POSTPAID-airtel@paytm-UPI-323246338487,-134.01,Debit,Bills & Utilities
TXN000134,2025-12-31,UPI/MEDPLUS/308705572125/medplus@paytm,-288.12,Debit,Healthcare
TXN000135,2025-12-31,UPI-RAPIDO-rapido@ybl-289641717495-Payment from Phone,-517.61,Debit,Transport
TXN000136,2025-12-31,NEFT-AMAZON-967482705366,-127.2,Debit,Shopping
TXN000137,2025-12-31,UPI-CITY HOSPITAL-cityhospital@sbi-054075256491-Payment from Phone,-404.04,Debit,Healthcare
TXN000138,2025-12-31,UPI-FLIPKART-flipkart@icici-158233459268-Payment from Phone,-177.52,Debit,Shopping
TXN000139,2026-01-01,NEFT-BIGBASKET-379370294394,-496.35,Debit,Groceries
TXN000140,2026-01-01,NEFT-FAMILYTRANSFER-014475805028,15561.15,Credit,Income
TXN000141,2026-01-01,UPI-UBER-uber@paytm-962561802188-Payment from Phone,-265.79,Debit,Transport
TXN000142,2026-01-01,IMPS-LOCAL KIRANA STORE-283837197590,-607.15,Debit,Groceries
TXN000143,2026-01-02,NEFT-CHAIPOINT-454030533230,-763.67,Debit,Food & Dining
TXN000144,2026-01-02,UPI/SCHOLARSHIP CREDIT/701767310332/college@sbi,22980.55,Credit,Income
TXN000145,2026-01-03,IMPS-FLIPKART-612211227397,-576.6,Debit,Shopping
TXN000146,2026-01-03,FLIPKART-flipkart@icici-UPI-410383844865,-289.26,Debit,Shopping
TXN000147,2026-01-04,NEFT-PRACTO-413376973273,-72.74,Debit,Healthcare
TXN000148,2026-01-04,UPI/LOCAL KIRANA STORE/170792780876/kirana123@ybl,-307.28,Debit,Groceries
TXN000149,2026-01-05,NEFT-LANDLORDRAJESHKUMAR-709445965738,-8145.71,Debit,Rent & Housing
TXN000150,2026-01-05,UPI-AMAZON-amazon@apl-126165669371-Payment from Phone,-107.5,Debit,Shopping
TXN000151,2026-01-10,IRCTC-irctc@sbi-UPI-466194290873,-504.08,Debit,Transport
TXN000152,2026-01-11,UPI/ZEPTO/307400703189/zepto@ybl,-212.88,Debit,Groceries
TXN000153,2026-01-11,IMPS-RELIANCE DIGITAL-159241640615,-170.9,Debit,Shopping
TXN000154,2026-01-11,ZOMATO-zomato@paytm-UPI-278018134285,-295.81,Debit,Food & Dining
TXN000155,2026-01-12,RELIANCE DIGITAL-reliancedigital@ybl-UPI-134168956321,-138.01,Debit,Shopping
TXN000156,2026-01-14,CITY HOSPITAL-cityhospital@sbi-UPI-189546484007,-271.53,Debit,Healthcare
TXN000157,2026-01-14,OLA-ola@okicici-UPI-544599112186,-294.65,Debit,Transport
TXN000158,2026-01-16,UPI/ZEPTO/574552595774/zepto@ybl,-1279.0,Debit,Groceries
TXN000159,2026-01-17,NEFT-ZOMATO-294384972853,-253.43,Debit,Food & Dining
TXN000160,2026-01-17,NEFT-FLIPKART-678855519259,-474.91,Debit,Shopping
TXN000161,2026-01-18,IMPS-JAIPUR VIDYUT VITRAN NIGAM-174026711328,-398.3,Debit,Bills & Utilities
TXN000162,2026-01-19,UPI-MYNTRA-myntra@ybl-630774768445-Payment from Phone,-176.33,Debit,Shopping
TXN000163,2026-01-20,UPI-RAPIDO-rapido@ybl-873984325187-Payment from Phone,-96.01,Debit,Transport
TXN000164,2026-01-22,NETFLIX-netflix@hdfcbank-UPI-184092616192,-338.34,Debit,Entertainment
TXN000165,2026-01-22,NEFT-DMART-660677400205,-161.06,Debit,Groceries
TXN000166,2026-01-22,IMPS-JAIPUR VIDYUT VITRAN NIGAM-031864208132,-137.76,Debit,Bills & Utilities
TXN000167,2026-01-22,UPI/BOOKMYSHOW/660561327964/bms@ybl,-277.91,Debit,Entertainment
TXN000168,2026-01-23,LOCAL KIRANA STORE-kirana123@ybl-UPI-572089414559,-350.58,Debit,Groceries
TXN000169,2026-01-23,SWIGGY-swiggy@ybl-UPI-539312056676,-326.48,Debit,Food & Dining
TXN000170,2026-01-25,BOOK STORE-bookstore@ybl-UPI-451490502993,-202.32,Debit,Education
TXN000171,2026-01-26,UPI-IRCTC-irctc@sbi-446510099135-Payment from Phone,-160.68,Debit,Transport
TXN000172,2026-01-27,OLA-ola@okicici-UPI-004463771771,-420.13,Debit,Transport
TXN000173,2026-01-27,UPI-MYNTRA-myntra@ybl-117287082075-Payment from Phone,-300.7,Debit,Shopping
TXN000174,2026-01-28,IMPS-UBER-453215725082,-460.28,Debit,Transport
TXN000175,2026-01-29,NEFT-PRACTO-985974347203,-370.85,Debit,Healthcare
TXN000176,2026-01-31,NEFT-LOCALKIRANASTORE-990428350253,-78.46,Debit,Groceries
TXN000177,2026-02-01,IMPS-FAMILY TRANSFER-775719056603,24977.87,Credit,Income
TXN000178,2026-02-01,COURSERA-coursera@ybl-UPI-152409709857,-331.31,Debit,Education
TXN000179,2026-02-03,UPI-AJIO-ajio@paytm-054922387732-Payment from Phone,-161.19,Debit,Shopping
TXN000180,2026-02-03,UPI/PRACTO/751144592321/practo@icici,-239.22,Debit,Healthcare
TXN000181,2026-02-04,NEFT-RELIANCEDIGITAL-248108918366,-537.41,Debit,Shopping
TXN000182,2026-02-04,IMPS-LOCAL KIRANA STORE-083023562904,-657.52,Debit,Groceries
TXN000183,2026-02-05,IMPS-SWIGGY-168088190947,-361.2,Debit,Food & Dining
TXN000184,2026-02-07,IMPS-ZOMATO-924166648403,-341.26,Debit,Food & Dining
TXN000185,2026-02-07,UPI-LOCAL KIRANA STORE-kirana123@ybl-295037473532-Payment from Phone,-220.36,Debit,Groceries
TXN000186,2026-02-07,UPI-BLINKIT-blinkit@okhdfcbank-082843521225-Payment from Phone,-230.29,Debit,Groceries
TXN000187,2026-02-08,NEFT-CITYHOSPITAL-388158690795,-261.49,Debit,Healthcare
TXN000188,2026-02-08,CITY HOSPITAL-cityhospital@sbi-UPI-510060436831,-598.48,Debit,Healthcare
TXN000189,2026-02-09,IMPS-ZOMATO-788939313119,-636.72,Debit,Food & Dining
TXN000190,2026-02-10,IMPS-MCDONALDS-697251361799,-163.57,Debit,Food & Dining
TXN000191,2026-02-10,UPI-BOOK STORE-bookstore@ybl-069925917291-Payment from Phone,-378.15,Debit,Education
TXN000192,2026-02-11,UPI/ZEPTO/148661082390/zepto@ybl,-454.62,Debit,Groceries
TXN000193,2026-02-11,IMPS-JIO RECHARGE-422021037984,-537.15,Debit,Bills & Utilities
TXN000194,2026-02-12,GROWW MUTUAL FUND-groww@ybl-UPI-677222058134,-557.28,Debit,Investment
TXN000195,2026-02-12,UPI/SWIGGY/580564091811/swiggy@ybl,-713.22,Debit,Food & Dining
TXN000196,2026-02-13,UPI/AJIO/101208334605/ajio@paytm,-161.8,Debit,Shopping
TXN000197,2026-02-13,NEFT-IRCTC-342422076035,-261.56,Debit,Transport
TXN000198,2026-02-13,NEFT-BIGBASKET-884584840975,-145.19,Debit,Groceries
TXN000199,2026-02-14,UPI/MUNICIPAL WATER BOARD/194912100628/waterboard@ybl,-570.85,Debit,Bills & Utilities
TXN000200,2026-02-15,NEFT-BIGBASKET-055859075711,-758.15,Debit,Groceries
TXN000201,2026-02-17,NEFT-APOLLOPHARMACY-512534346021,-363.94,Debit,Healthcare
TXN000202,2026-02-17,UPI-TATA SKY-tatasky@ybl-083279808324-Payment from Phone,-1449.02,Debit,Bills & Utilities
TXN000203,2026-02-17,ZERODHA-zerodha@icici-UPI-194824612877,-953.93,Debit,Investment
TXN000204,2026-02-18,FLIPKART-flipkart@icici-UPI-074755182000,-479.13,Debit,Shopping
TXN000205,2026-02-19,UPI-ZEPTO-zepto@ybl-561035185318-Payment from Phone,-143.79,Debit,Groceries
TXN000206,2026-02-19,IMPS-ZEPTO-087222265896,-291.71,Debit,Groceries
TXN000207,2026-02-21,NEFT-UBER-598376649331,-76.36,Debit,Transport
TXN000208,2026-02-21,IMPS-DMART-152088431042,-140.92,Debit,Groceries
TXN000209,2026-02-21,NEFT-AMAZON-269772884235,-284.76,Debit,Shopping
TXN000210,2026-02-21,UBER-uber@paytm-UPI-099855264323,-231.33,Debit,Transport
TXN000211,2026-02-22,ZOMATO-zomato@paytm-UPI-775998622848,-248.54,Debit,Food & Dining
TXN000212,2026-02-23,UPI/BIGBASKET/485908583208/bigbasket@ybl,-898.99,Debit,Groceries
TXN000213,2026-02-24,UPI/LOCAL KIRANA STORE/891810393042/kirana123@ybl,-647.63,Debit,Groceries
TXN000214,2026-02-24,FLIPKART-flipkart@icici-UPI-470664930130,-63.08,Debit,Shopping
TXN000215,2026-02-25,NEFT-AMAZON-662631351822,-169.98,Debit,Shopping
TXN000216,2026-02-26,UPI/BLINKIT/393199427175/blinkit@okhdfcbank,-283.37,Debit,Groceries
TXN000217,2026-02-26,SWIGGY-swiggy@ybl-UPI-367650180141,-368.43,Debit,Food & Dining
TXN000218,2026-03-01,BIGBASKET-bigbasket@ybl-UPI-626181711111,-287.69,Debit,Groceries
TXN000219,2026-03-01,IMPS-BOOKMYSHOW-341596420015,-772.19,Debit,Entertainment
TXN000220,2026-03-02,NEFT-ZEPTO-644811798194,-97.39,Debit,Groceries
TXN000221,2026-03-02,IMPS-SWIGGY-016389273314,-29.23,Debit,Food & Dining
TXN000222,2026-03-02,UPI-SALARY CREDIT EVOASTRA VENTURE-evoastra@hdfcbank-122924010283-Payment from Phone,22235.64,Credit,Income
TXN000223,2026-03-03,NEFT-FAMILYTRANSFER-688784484060,22791.64,Credit,Income
TXN000224,2026-03-03,UPI/HOTSTAR/729856647466/hotstar@icici,-173.12,Debit,Entertainment
TXN000225,2026-03-04,IMPS-RELIANCE DIGITAL-061888042902,-184.27,Debit,Shopping
TXN000226,2026-03-04,UPI-OLA-ola@okicici-045043970405-Payment from Phone,-180.59,Debit,Transport
TXN000227,2026-03-06,UPI-BOOK STORE-bookstore@ybl-269302456467-Payment from Phone,-116.19,Debit,Education
TXN000228,2026-03-07,NEFT-JAIPURVIDYUTVITRANNIGAM-389257011771,-518.06,Debit,Bills & Utilities
TXN000229,2026-03-08,NEFT-CHAIPOINT-281370661845,-480.01,Debit,Food & Dining
TXN000230,2026-03-08,NEFT-CHAIPOINT-075459796181,-253.66,Debit,Food & Dining
TXN000231,2026-03-08,NEFT-MYNTRA-539972994147,-402.35,Debit,Shopping
TXN000232,2026-03-09,UPI-JIO RECHARGE-jio@icici-559768584013-Payment from Phone,-84.18,Debit,Bills & Utilities
TXN000233,2026-03-09,NEFT-AIRTELPOSTPAID-279610725346,-484.01,Debit,Bills & Utilities
TXN000234,2026-03-09,JIO RECHARGE-jio@icici-UPI-796262369695,-113.07,Debit,Bills & Utilities
TXN000235,2026-03-10,MUNICIPAL WATER BOARD-waterboard@ybl-UPI-357660347690,-607.24,Debit,Bills & Utilities
TXN000236,2026-03-10,UPI/ZEPTO/897675679216/zepto@ybl,-312.86,Debit,Groceries
TXN000237,2026-03-12,NEFT-SWIGGY-451523711309,-103.11,Debit,Food & Dining
TXN000238,2026-03-13,LOCAL KIRANA STORE-kirana123@ybl-UPI-507595715438,-527.99,Debit,Groceries
TXN000239,2026-03-13,UPI-DMART-dmart@paytm-275989064966-Payment from Phone,-367.85,Debit,Groceries
TXN000240,2026-03-13,UPI/JIO RECHARGE/371270575542/jio@icici,-145.24,Debit,Bills & Utilities
TXN000241,2026-03-14,IMPS-SWIGGY-195006784157,-876.12,Debit,Food & Dining
TXN000242,2026-03-14,IMPS-JAIPUR VIDYUT VITRAN NIGAM-714300755223,-852.94,Debit,Bills & Utilities
TXN000243,2026-03-15,IMPS-SWIGGY-566757091730,-196.97,Debit,Food & Dining
TXN000244,2026-03-15,UBER-uber@paytm-UPI-451375916977,-326.1,Debit,Transport
TXN000245,2026-03-16,UPI/BOOKMYSHOW/055937934651/bms@ybl,-9478.82,Debit,Entertainment
TXN000246,2026-03-17,NEFT-MYNTRA-117889945200,-86.93,Debit,Shopping
TXN000247,2026-03-18,IMPS-BLINKIT-622014366158,-170.08,Debit,Groceries
TXN000248,2026-03-18,UPI/DOMINOS/227481784335/dominos@okhdfcbank,-449.86,Debit,Food & Dining
TXN000249,2026-03-19,NEFT-DOMINOS-815280005054,-365.03,Debit,Food & Dining
TXN000250,2026-03-20,NEFT-DOMINOS-594732772453,-1394.8,Debit,Food & Dining
TXN000251,2026-03-20,RELIANCE DIGITAL-reliancedigital@ybl-UPI-711558179072,-16209.94,Debit,Shopping
TXN000252,2026-03-21,UBER-uber@paytm-UPI-657398061962,-298.23,Debit,Transport
TXN000253,2026-03-22,NEFT-AJIO-636853953844,-516.35,Debit,Shopping
TXN000254,2026-03-22,IMPS-ZOMATO-425211686431,-207.36,Debit,Food & Dining
TXN000255,2026-03-22,IMPS-INDIAN OIL PETROL PUMP-180051605021,-488.94,Debit,Transport
TXN000256,2026-03-24,UPI/DOMINOS/926442415765/dominos@okhdfcbank,-83.06,Debit,Food & Dining
TXN000257,2026-03-25,NEFT-ZEPTO-503105968619,-641.61,Debit,Groceries
TXN000258,2026-03-26,IMPS-BYJUS-569325515495,-132.38,Debit,Education
TXN000259,2026-03-26,OLA-ola@okicici-UPI-070553284145,-370.9,Debit,Transport
TXN000260,2026-03-26,IMPS-HOTSTAR-706950964486,-348.66,Debit,Entertainment
TXN000261,2026-03-26,NEFT-ZEPTO-735776014282,-431.32,Debit,Groceries
TXN000262,2026-03-27,UPI-ARYA COLLEGE FEE PORTAL-arya.edu@sbi-746124356719-Payment from Phone,-637.31,Debit,Education
TXN000263,2026-03-27,UPI-BOOKMYSHOW-bms@ybl-460236794629-Payment from Phone,-342.9,Debit,Entertainment
TXN000264,2026-03-27,UPI/PRACTO/642682055210/practo@icici,-224.89,Debit,Healthcare
TXN000265,2026-03-27,NEFT-AIRTELPOSTPAID-023642079575,-374.64,Debit,Bills & Utilities
TXN000266,2026-03-27,DMART-dmart@paytm-UPI-294401555315,-221.93,Debit,Groceries
TXN000267,2026-03-29,UPI/AJIO/957794450106/ajio@paytm,-192.79,Debit,Shopping
TXN000268,2026-03-30,UPI/DMART/435722373513/dmart@paytm,-633.71,Debit,Groceries
